kmer_1,hash_1,kmer_2,hash_2,Sample
0,18322570687945926432,29,1174795332742157371,1
1,17207694538727192842,80,9459057197832546295,1
2,13572545808526323321,39,12566530755884814467,1
3,1592718322790913458,27,9863143355968547096,1
4,7502526415030299371,28,12628972236944744617,1
5,13838326249465075873,47,69543736829228579,1
6,8873099709660615089,67,1394101141588430616,1
7,13088627501647566599,59,10547582351722807267,1
8,14012398756271721882,69,30546427965375106,1
9,5395079253297464055,58,6422754923088345833,1
10,13161464268721019464,41,9662199251465098664,1
11,8875693217544588279,67,1394101141588430616,1
12,9836760852180025330,72,7594459009228969762,1
13,11915516759452465553,52,2380557698257211594,1
14,14931420620442773526,70,4480111917708144361,1
15,16027469183351912245,49,15463671028031261490,1
16,5558840476993737581,64,11971388211873042396,1
17,7979303995450147784,73,12858017589175789095,1
18,4344688127668622837,80,9459057197832546295,1
19,11607088092063198524,49,15463671028031261490,1
20,3724702770543822916,68,12764586516442475523,1
21,6737242034773832441,65,7596230082605931669,1
22,1839877968484908960,59,10547582351722807267,1
23,6505513391013301755,46,10192126636332801046,1
24,16137704767363857140,64,11971388211873042396,1
25,6636018794974163843,52,2380557698257211594,1
26,4101445398443604328,75,13893731263815755236,1
27,9863143355968547096,63,8098073502493875821,1
28,12628972236944744617,75,13893731263815755236,1
29,1174795332742157371,59,10547582351722807267,1
30,13219539411492023801,61,10430246285063624008,1
31,7124892793422128923,67,1394101141588430616,1
32,7030214443671941059,54,11603280222427089808,1
33,1737045946034249684,73,12858017589175789095,1
34,179599109838584556,63,8098073502493875821,1
35,14942364296807455325,61,10430246285063624008,1
36,9339459319655139748,57,7751025876767267205,1
37,17092527753035619296,80,9459057197832546295,1
38,15563090562328483788,68,12764586516442475523,1
39,12566530755884814467,72,7594459009228969762,1
40,3126815460958861898,75,13893731263815755236,1
41,9662199251465098664,79,13275697886911786352,1
42,7620235100710306525,63,8098073502493875821,1
43,2158041595693907191,76,12592966318722561668,1
44,5881733066943218832,77,7227213949375643898,1
45,5238535337643942520,70,4480111917708144361,1
46,10192126636332801046,77,7227213949375643898,1
47,69543736829228579,76,12592966318722561668,1
48,8300290747676698632,75,13893731263815755236,1
49,15463671028031261490,73,12858017589175789095,1
50,1267170916627181684,80,9459057197832546295,1
51,832028604789979724,74,7140662263102054555,1
52,2380557698257211594,79,13275697886911786352,1
53,6927947632573968502,79,13275697886911786352,1
54,11603280222427089808,80,9459057197832546295,1
55,13779920880958845315,80,9459057197832546295,1
56,2640364395527294782,79,13275697886911786352,1
57,7751025876767267205,80,9459057197832546295,1
58,6422754923088345833,80,9459057197832546295,1

